Event ID,Event Type,Detected On,Start Time,End Time,Confidence,Confidence Score,Duration,Zone,Status,Verified On,Event Sensors,MNF
453,System Event,2024-04-02T08:28:50.9615378,2024-02-29T00:00:00,2024-02-29T23:59:59.999,VeryHigh,8.88,1350,Murnane,New,2024-04-02T08:28:50.9615379,"fcph_44, mnsr_29",1
452,System Event,2024-02-29T17:31:50.4288966,2024-02-29T00:00:00,2024-02-29T23:59:59.999,High,1.2,105,Bukit Batok,New,2024-02-29T17:31:50.4288975,bbsr_13,1
451,System Event,2024-02-29T08:38:57.8435154,2024-02-28T00:00:00,2024-02-28T23:59:59.999,VeryHigh,3.41,720,Murnane,New,2024-02-29T08:38:57.8435164,mnsr_29,1
450,System Event,2024-04-18T06:08:15.0908523,2024-02-27T00:00:00,2024-02-27T23:59:59.999,VeryHigh,13.92,555,Murnane,New,2024-04-18T06:08:15.0908524,mnsr_43,1
449,System Event,2024-04-03T15:59:34.9456726,2024-02-26T00:00:00,2024-02-26T23:59:59.999,VeryHigh,12.99,840,Murnane,New,2024-04-03T15:59:34.9456727,"fcph_33, fcph_32, mnsr_19, fcph_44, mnsr_32, mnsr_11, mnsr_36, mnsr_48, mnsr_12, mnsr_46, mnsr_42, mnsr_29, mnsr_23, mnsr_17, mnsr_39, mnsr_26, mnsr_14, mnsr_13, mnsr_34",1
448,System Event,2024-02-26T17:35:22.4975664,2024-02-26T00:00:00,2024-02-26T23:59:59.999,High,1.61,885,Nanyang,New,2024-02-26T17:35:22.4975675,"nysr_30, nysr_20",0
447,System Event,2024-04-02T08:28:50.9381524,2024-02-26T00:00:00,2024-02-26T23:59:59.999,VeryHigh,2.93,555,Sentosa,New,2024-04-02T08:28:50.9381526,"fcph_49, ssr_NetInflow",1
446,System Event,2024-02-26T17:31:38.7461611,2024-02-26T00:00:00,2024-02-26T23:59:59.999,Medium,0.3,60,Bukit Batok,New,2024-02-26T17:31:38.7461623,bbsr_12,0
445,System Event,2024-04-18T06:08:15.0814821,2024-02-23T00:00:00,2024-02-23T23:59:59.999,VeryHigh,8.14,1395,Murnane,New,2024-04-18T06:08:15.0814824,mnsr_14,0
444,System Event,2024-04-03T15:59:34.9283028,2024-02-22T00:00:00,2024-02-22T23:59:59.999,VeryHigh,12.31,1290,Murnane,New,2024-04-03T15:59:34.9283029,"mnsr_13, mnsr_14, mnsr_26",1
442,System Event,2024-02-22T17:35:11.5809206,2024-02-22T00:00:00,2024-02-22T23:59:59.999,VeryHigh,5.94,1320,Nanyang,New,2024-02-22T17:35:11.5809219,"nysr_26, nysr_25, western_42, nysr_18, nysr_24, nysr_27",0
440,System Event,2024-02-21T17:31:41.3627465,2024-02-21T00:00:00,2024-02-21T23:59:59.999,Medium,0.42,75,Bukit Batok,New,2024-02-21T17:31:41.362748,bbsr_17,0
441,System Event,2024-04-03T15:59:34.9175583,2024-02-20T00:00:00,2024-02-21T23:59:59.999,VeryHigh,15.93,2775,Murnane,New,2024-04-03T15:59:34.9175584,"mnsr_13, fcph_47, mnsr_29, mnsr_30, mnsr_39, mnsr_44, fcph_44, mnsr_31",1
436,System Event,2024-02-20T17:33:11.3906707,2024-02-20T00:00:00,2024-02-20T23:59:59.999,High,2,990,Sentosa,New,2024-02-21T08:52:11.6760494,"fcph_49, ssr_NetInflow",1
435,System Event,2024-02-20T17:31:43.3262202,2024-02-20T00:00:00,2024-02-20T23:59:59.999,VeryHigh,2.01,45,Bukit Batok,New,2024-02-21T08:48:01.6316672,western_43,1
437,System Event,2024-02-20T06:09:15.9487795,2024-02-19T00:00:00,2024-02-19T23:59:59.999,VeryHigh,10.64,1305,Murnane,New,2024-02-21T09:02:43.5479011,"mnsr_44, mnsr_39, mnsr_42, mnsr_24, mnsr_17, mnsr_13, fcph_47, fcph_33, fcph_32, mnsr_41, mnsr_31, mnsr_29, mnsr_46, mnsr_26, mnsr_11",1
434,System Event,2024-02-20T08:54:14.4997143,2024-02-19T00:00:00,2024-02-19T23:59:59.999,VeryHigh,2.08,1005,Nanyang,New,2024-02-21T08:39:22.9317701,"nysr_30, western_42, nysr_41",1
433,System Event,2024-02-18T17:31:42.7207601,2024-02-18T00:00:00,2024-02-19T23:59:59.999,High,1.64,1500,Bukit Batok,New,2024-02-21T08:35:18.4067815,"bbsr_12, bbsr_16, bbsr_11",1
418,System Event,2024-04-03T15:59:34.8993626,2024-02-18T00:00:00,2024-02-18T23:59:59.999,VeryHigh,6.78,870,Murnane,New,2024-04-03T15:59:34.899363,"mnsr_44, fcph_47",1
439,System Event,2024-02-21T15:32:43.5929492,2024-02-17T00:00:00,2024-02-17T23:59:59.999,VeryHigh,8.89,1305,Murnane,New,2024-02-21T15:32:43.5929501,"mnsr_26, mnsr_31, mnsr_39, mnsr_24, mnsr_13, mnsr_29, mnsr_46",0
419,System Event,2024-02-17T17:33:03.1693434,2024-02-17T00:00:00,2024-02-17T23:59:59.999,High,1.22,690,Sentosa,New,2024-02-20T06:01:24.1369904,fcph_49,0
412,System Event,2024-02-17T17:37:47.9729812,2024-02-17T00:00:00,2024-02-17T23:59:59.999,VeryHigh,6.54,750,Murnane,New,2024-02-17T17:37:47.9729823,"mnsr_31, mnsr_39, mnsr_24, mnsr_13, mnsr_29, mnsr_46",0
424,System Event,2024-04-02T08:28:50.901064,2024-02-16T00:00:00,2024-02-16T23:59:59.999,High,0.92,165,Nanyang,New,2024-04-02T08:28:50.9010641,nysr_24,0
410,System Event,2024-02-16T17:38:18.1674983,2024-02-16T00:00:00,2024-02-16T23:59:59.999,High,0.75,90,Murnane,New,2024-02-16T17:38:18.1674995,fcph_47,0
408,System Event,2024-02-15T17:31:39.6358238,2024-02-15T00:00:00,2024-02-16T23:59:59.999,VeryHigh,10.73,2445,Bukit Batok,New,2024-02-16T17:31:34.9062823,bbsr_13,0
423,System Event,2024-02-20T08:01:10.213838,2024-02-14T00:00:00,2024-02-14T23:59:59.999,VeryHigh,3.58,960,Nanyang,New,2024-02-20T08:01:10.2138395,"nysr_15, nysr_34",0
406,System Event,2024-02-14T17:37:44.784254,2024-02-14T00:00:00,2024-02-14T23:59:59.999,High,1.01,135,Murnane,New,2024-02-15T05:49:29.2785244,mnsr_44,0
422,System Event,2024-04-18T06:08:15.0607645,2024-02-13T00:00:00,2024-02-13T23:59:59.999,High,0.75,90,Nanyang,New,2024-04-18T06:08:15.0607651,nysr_40,0
404,System Event,2024-02-10T17:39:04.725262,2024-02-10T00:00:00,2024-02-11T23:59:59.999,VeryHigh,5.34,2145,Murnane,New,2024-02-14T09:22:04.9719852,mnsr_14,1
402,System Event,2024-02-09T17:38:54.0002297,2024-02-09T00:00:00,2024-02-09T23:59:59.999,VeryHigh,2.31,75,Murnane,New,2024-02-14T05:53:55.8211389,mnsr_31,1
401,System Event,2024-04-02T08:28:50.875043,2024-02-09T00:00:00,2024-02-09T23:59:59.999,High,1.04,255,Bukit Batok,New,2024-04-02T08:28:50.8750434,bbsr_12,1
396,System Event,2024-02-08T17:38:27.7234551,2024-02-08T00:00:00,2024-02-08T23:59:59.999,VeryHigh,9.38,90,Murnane,New,2024-02-08T17:38:27.7234564,mnsr_30,1
